id,condicao,nome,forma_pagamento,anotacao,valor,data_compra,tipo_transacao,qtde_parcela,periodo,parcela_atual,qtde_recorrencia,data_vencimento,dt_pagamento_boleto,realizado,dividido,antecipado,antecipacao_id,created_at,user_id,cartao_id,conta_id,categoria_id,pagador_id
b99cadde-8722-43d6-9e24-e791a1044972,À vista,DROGASIL 3648,Cartão de crédito,,-12.38,2025-11-10,Despesa,,2025-11,,,,,,False,False,,2025-12-01 19:25:16.932400+00,iVZqN1iLm157P6IsPFDLu7myEtanSmuE,7fb0690c-bf13-4e0c-a2a8-470f22d9b80e,,18412eaa-dd63-4b55-943e-6e84c38f52ee,c7f384ab-caa5-4452-91a7-0c4d9ced337f
7ca341fb-2ee3-447d-9808-d1716649a820,À vista,DROGASIL 3915,Cartão de crédito,,-19.98,2025-11-14,Despesa,,2025-11,,,,,,False,False,,2025-12-01 19:25:16.932569+00,iVZqN1iLm157P6IsPFDLu7myEtanSmuE,7fb0690c-bf13-4e0c-a2a8-470f22d9b80e,,18412eaa-dd63-4b55-943e-6e84c38f52ee,c7f384ab-caa5-4452-91a7-0c4d9ced337f
f4807ce7-1225-41a9-8d98-ee4a53e44601,À vista,DROGASIL 3915,Cartão de crédito,,-39.87,2025-11-21,Despesa,,2025-11,,,,,,False,False,,2025-12-01 19:25:16.932752+00,iVZqN1iLm157P6IsPFDLu7myEtanSmuE,7fb0690c-bf13-4e0c-a2a8-470f22d9b80e,,18412eaa-dd63-4b55-943e-6e84c38f52ee,c7f384ab-caa5-4452-91a7-0c4d9ced337f
bc4ec733-7bed-480f-97fb-4d980b1a677a,À vista,SUPERMERCADO SANTA LUCI,Cartão de crédito,,-13.69,2025-10-30,Despesa,,2025-10,,,,,,False,False,,2025-12-01 19:25:16.932914+00,iVZqN1iLm157P6IsPFDLu7myEtanSmuE,7fb0690c-bf13-4e0c-a2a8-470f22d9b80e,,ca30b910-d456-44d0-839d-85cb20f524be,c7f384ab-caa5-4452-91a7-0c4d9ced337f
9a7489d6-a16e-41b4-94f8-fcefcb6958b1,À vista,ATACADÃO MARACA AUTOS,Cartão de crédito,,-194.16,2025-10-30,Despesa,,2025-10,,,,,,False,False,,2025-12-01 19:25:16.933047+00,iVZqN1iLm157P6IsPFDLu7myEtanSmuE,7fb0690c-bf13-4e0c-a2a8-470f22d9b80e,,ca30b910-d456-44d0-839d-85cb20f524be,c7f384ab-caa5-4452-91a7-0c4d9ced337f
dd433e37-04ce-4424-8470-9dea30375173,À vista,ATACADAO 0255 AS,Cartão de crédito,,-178.64,2025-10-30,Despesa,,2025-10,,,,,,False,False,,2025-12-01 19:25:16.933276+00,iVZqN1iLm157P6IsPFDLu7myEtanSmuE,7fb0690c-bf13-4e0c-a2a8-470f22d9b80e,,ca30b910-d456-44d0-839d-85cb20f524be,c7f384ab-caa5-4452-91a7-0c4d9ced337f
6c5da80c-d08b-40dc-bb5d-76878ffd5b38,À vista,AGRONORTE,Cartão de crédito,,-16.0,2025-10-30,Despesa,,2025-10,,,,,,False,False,,2025-12-01 19:25:16.933427+00,iVZqN1iLm157P6IsPFDLu7myEtanSmuE,7fb0690c-bf13-4e0c-a2a8-470f22d9b80e,,94328c54-0ac7-4515-b65e-9eb5e9f84af5,c7f384ab-caa5-4452-91a7-0c4d9ced337f
517962d1-b68d-4dcc-8ef5-f95393d14e07,À vista,CAMALEAO TINTAS,Cartão de crédito,,-54.0,2025-10-31,Despesa,,2025-10,,,,,,False,False,,2025-12-01 19:25:16.933552+00,iVZqN1iLm157P6IsPFDLu7myEtanSmuE,7fb0690c-bf13-4e0c-a2a8-470f22d9b80e,,045da7f5-6033-4f71-8b13-c1b482a94282,c7f384ab-caa5-4452-91a7-0c4d9ced337f
1c119fb9-01e8-4d2f-a12c-0b03493099cf,À vista,ATACADAO 0255 AS,Cartão de crédito,,-25.99,2025-10-31,Despesa,,2025-10,,,,,,False,False,,2025-12-01 19:25:16.933664+00,iVZqN1iLm157P6IsPFDLu7myEtanSmuE,7fb0690c-bf13-4e0c-a2a8-470f22d9b80e,,ca30b910-d456-44d0-839d-85cb20f524be,c7f384ab-caa5-4452-91a7-0c4d9ced337f
042146a6-cbad-4a2a-ac51-d92f273adc69,À vista,ASSAL ATACADISTA LJ32,Cartão de crédito,,-52.48,2025-10-31,Despesa,,2025-10,,,,,,False,False,,2025-12-01 19:25:16.933814+00,iVZqN1iLm157P6IsPFDLu7myEtanSmuE,7fb0690c-bf13-4e0c-a2a8-470f22d9b80e,,ca30b910-d456-44d0-839d-85cb20f524be,c7f384ab-caa5-4452-91a7-0c4d9ced337f
07f418f0-daaf-4003-80a1-66bc364e7a77,À vista,IMPORTADORA COM,Cartão de crédito,,-39.24,2025-11-01,Despesa,,2025-11,,,,,,False,False,,2025-12-01 19:25:16.933982+00,iVZqN1iLm157P6IsPFDLu7myEtanSmuE,7fb0690c-bf13-4e0c-a2a8-470f22d9b80e,,6cf64a01-c3b6-429d-b571-c53642298013,c7f384ab-caa5-4452-91a7-0c4d9ced337f
